Id,Name,Category,Price,Quantity,IsAvailable,AddedDate
1,Ноутбук,Электроника,75000,5,True,2026-03-01
2,Мышь,Периферия,1500,20,False,2026-03-06
3,Клавиатура,Периферия,3500,0,False,2026-03-08
4,Монитор,Электроника,25000,3,True,2026-03-04
5,Новый товар 5,Другое,0,0,True,2026-03-11
6,Новый товар 6,Другое,0,0,True,2026-03-11
7,Новый товар 7,Другое,0,0,True,2026-03-11
8,Новый товар 8,Другое,0,0,True,2026-03-11
9,Новый товар 9,Другое,0,0,True,2026-03-11
10,Новый товар 10,Другое,0,0,True,2026-03-11
11,Новый товар 11,Другое,0,0,True,2026-03-11
12,Новый товар 12,Другое,0,0,True,2026-03-11
